timestamp,open,high,low,close,volume
2025-07-18 22:30:00,10.000,10.010,9.990,10.005,1000
2025-07-18 22:31:00,10.005,10.020,10.000,10.015,1200
2025-07-18 22:32:00,10.015,10.030,10.010,10.025,1100
2025-07-18 22:33:00,10.025,10.040,10.020,10.035,1300
2025-07-18 22:34:00,10.035,10.050,10.030,10.045,1400
2025-07-18 22:35:00,10.045,10.060,10.040,10.055,1500
2025-07-18 22:36:00,10.055,10.070,10.050,10.065,1600
2025-07-18 22:37:00,10.065,10.080,10.060,10.075,1700
2025-07-18 22:38:00,10.075,10.090,10.070,10.085,1800
2025-07-18 22:39:00,10.085,10.100,10.080,10.095,1900
2025-07-18 22:40:00,10.095,10.110,10.090,10.105,2000
2025-07-18 22:41:00,10.105,10.120,10.100,10.115,2100
2025-07-18 22:42:00,10.115,10.130,10.110,10.125,2200
2025-07-18 22:43:00,10.125,10.140,10.120,10.135,2300
2025-07-18 22:44:00,10.135,10.150,10.130,10.145,2400
2025-07-18 22:45:00,10.145,10.160,10.140,10.155,2500
2025-07-18 22:46:00,10.155,10.170,10.150,10.165,2600
2025-07-18 22:47:00,10.165,10.180,10.160,10.175,2700
2025-07-18 22:48:00,10.175,10.190,10.170,10.185,2800
2025-07-18 22:49:00,10.185,10.200,10.180,10.195,2900
2025-07-18 22:50:00,10.195,10.210,10.190,10.205,3000
